,0
0,XXII
1,FAX
2,IAF
3,AEF
4,FCO
5,ACU
6,ATNM
7,AE
8,ACY
9,UAVS
10,AGE
11,AIRI
12,AXU
13,AAU
14,APT
15,AAMC
16,AMBO
17,DIT
18,AMS
19,USAS
20,AMPE
21,ANVS
22,ARMP
23,AINC
24,AUG
25,AWX
26,ASM
27,BTG
28,BTN
29,BCV
30,BHB
31,BRN
32,BATL
33,BIOX
34,PHGE
35,BGI
36,BKTI
37,BDR
38,BRBS
39,BRG
40,DMF
41,CMCL
42,CEI
43,CANF
44,YCBD
45,CVM
46,CET
47,LEU
48,CHAQ
49,CCF
50,CQP
51,LNG
52,CVR
53,CPHI
54,CKX
55,GLV
56,GLQ
57,GLO
58,COHN
59,CIX
60,LODE
61,CDOR
62,MCF
63,CMT
64,CRMD
65,CRF
66,CLM
67,CVU
68,CIK
69,DHY
70,CRHM
71,CTO
72,CTEK
73,DXR
74,VCF
75,VFL
76,VMM
77,DLA
78,DNN
79,DSS
80,DPW
81,DXF
82,GRF
83,EVM
84,CEV
85,EVV
86,EIM
87,ENX
88,EVY
89,ELMD
90,ELLO
91,ECF
92,EMAN
93,MSN
94,EMX
95,UUUU
96,ENSV
97,ELA
98,EQX
99,ESP
100,EVBN
101,EVI
102,EPM
103,FEN
104,BDL
105,FSI
106,FTF
107,FSP
108,FRD
109,FTSI
110,GAU
111,GGN
112,JOB
113,GMO
114,GSB
115,GSAT
116,GORO
117,GSV
118,AUMN
119,GSS
120,GV
121,GDP
122,GTE
123,GPL
124,SIM
125,AIM
126,HMG
127,HUSA
128,IBIO
129,IBO
130,IMH
131,IMO
132,IOR
133,IGC
134,INDO
135,INFU
136,IHT
137,NSPR
138,INS
139,THM
140,INTT
141,INUV
142,VKI
143,ISR
144,ISDR
145,ITP
146,KLR
147,KIQ
148,LGL
149,LCTX
150,MAG
151,MHH
152,MTNB
153,MMX
154,IPB
155,MTA
156,MXC
157,MLSS
158,MYO
159,NNVC
160,ATEST
161,NHC
162,NAVB
163,NTIP
164,NBW
165,NHS
166,NML
167,NBH
168,NBO
169,NRO
170,GBR
171,NEN
172,NGD
173,NXE
174,NAK
175,NOG
176,NBY
177,NG
178,NTN
179,NES
180,OBLG
181,OCX
182,OGEN
183,PTN
184,PZG
185,PRK
186,PED
187,PFNX
188,HNW
189,PLAG
190,PLG
191,PLM
192,PW
193,PLX
194,RLGT
195,UTG
196,RHE
197,RCG
198,RVP
199,REI
200,RIF
201,SACC
202,SACH
203,SCCB
204,SNMP
205,SEB
206,SENS
207,SVT
208,SMTS
209,SIF
210,SVM
211,SILV
212,XPL
213,LOV
214,SDI
215,STXS
216,SSY
217,SDPI
218,SYN
219,TKAT
220,TRX
221,TGB
222,TGC
223,GLU
224,GGO
225,TMBR
226,TMP
227,TAT
228,TRXC
229,TMQ
230,TPHS
231,TRT
232,UFAB
233,UAMY
234,UUU
235,URG
236,UEC
237,VHC
238,VGZ
239,VNRX
240,VOLT
241,EAD
242,ERC
243,ERH
244,WRN
245,WYY
246,WTT
247,XTNT
248,ZDGE
249,ZOM
