,0
0,DDD
1,MMM
2,WBAI
3,WUBA
4,EGHT
5,AHC
6,AOS
7,ATEN
8,AIR
9,AAN
10,ABB
11,ABT
12,ABBV
13,ANF
14,AGD
15,AWP
16,ACP
17,JEQ
18,AOD
19,ABM
20,AKR
21,ACEL
22,ACN
23,ACCO
24,ATV
25,AYI
26,GOLF
27,ADX
28,PEO
29,ADCT
30,AGRO
31,ADNT
32,ADT
33,ATGE
34,AAP
35,ADSW
36,WMS
37,ASIX
38,AVK
39,ACM
40,AEFC
41,AEB
42,AEG
43,AER
44,AJRD
45,AMG
46,MGR
47,AFL
48,MITT
49,AGCO
50,A
51,AEM
52,ADC
53,AL
54,APD
55,ALG
56,AGI
57,ALK
58,AIN
59,ALB
60,ACI
61,AA
62,ALC
63,ALEX
64,ALX
65,ARE
66,AQN
67,AQNA
68,AQNB
69,BABA
70,Y
71,ATI
72,ALLE
73,ALE
74,ADS
75,AFB
76,AWF
77,AB
78,AIO
79,CBH
80,NCV
81,NCZ
82,ACV
83,NFJ
84,NIE
85,ALSN
86,ALL
87,ALLY
88,PINE
89,ALTG
90,AYX
91,ATUS
92,MO
93,ACH
94,ALUS
95,AMBC
96,ABEV
97,AMC
98,AMCR
99,AEE
100,AMRC
101,AMOV
102,AMX
103,AAT
104,AXL
105,ACC
106,AEO
107,AEP
108,AEL
109,AXP
110,AFG
111,AFGB
112,AFGC
113,AFGD
114,AFGH
115,AMH
116,AIG
117,ARL
118,ARA
119,AWR
120,AMT
121,AVD
122,AWK
123,COLD
124,AMP
125,ABC
126,RYCE
127,AMN
128,AMRX
129,AP
130,APH
131,AXR
132,HKIB
133,AME
134,PLAN
135,DYFN
136,FINS
137,AU
138,BUD
139,NLY
140,AM
141,AR
142,ANTM
143,ANH
144,AON
145,AIV
146,APG
147,ARI
148,APO
149,AFT
150,AIF
151,APLE
152,AIT
153,ATR
154,APTV
155,ARMK
156,ABR
157,ARC
158,MT
159,MTCN
160,ARCH
161,ADM
162,AROC
163,ARNC
164,ARCO
165,ACA
166,RCUS
167,ARD
168,ASC
169,AFC
170,ACRE
171,ARDC
172,ARES
173,AGX
174,ARGD
175,ARGO
176,ANET
177,AI
178,AIC
179,AIW
180,ARLO
181,AHH
182,ARR
183,AFI
184,AWI
185,ARW
186,AJG
187,APAM
188,ASA
189,ABG
190,ASX
191,ASGN
192,AHT
193,ASH
194,ASPN
195,AMK
196,ASB
197,AC
198,AIZ
199,AIZP
200,AGO
201,AZN
202,HOME
203,T
204,TBB
205,TBC
206,ATTO
207,ATH
208,ATKR
209,AT
210,ATCO
211,ATO
212,ACB
213,ATHM
214,ALV
215,AN
216,AZO
217,AVLR
218,AVB
219,AGR
220,AVNS
221,AVTR
222,AVYA
223,AVY
224,AVA
225,AXTA
226,AXS
227,AX
228,AXO
229,AZUL
230,AZRE
231,AZZ
232,BGS
233,BMRG
234,BW
235,BGH
236,BMI
237,BCSF
238,BKR
239,BBN
240,BLL
241,BANC
242,BBAR
243,BBVA
244,BBD
245,BBDO
246,BCH
247,BLX
248,BSBR
249,BSAC
250,BSMX
251,SAN
252,CIB
253,BXS
254,BAC
255,BOH
256,BMO
257,NTB
258,BNS
259,BKU
260,BCS
261,BBDC
262,MCI
