code: 300818, average growth: 63.0
code: 002961, average growth: 44.095238095238095
code: 300772, average growth: 27.0
code: 002945, average growth: 13.527131782945736
code: 002981, average growth: 12.0
code: 002939, average growth: 9.417040358744394
code: 002938, average growth: 8.269345238095237
code: 002142, average growth: 5.908002280935183
code: 300643, average growth: 5.0
code: 000001, average growth: 4.372861346216717
code: 300790, average growth: 4.333333333333333
code: 300684, average growth: 3.891304347826087
code: 002807, average growth: 3.460970464135021
code: 002947, average growth: 3.1403508771929824
code: 300759, average growth: 3.0689655172413794
code: 300777, average growth: 2.6666666666666665
code: 300813, average growth: 2.4285714285714284
code: 002976, average growth: 2.3333333333333335
code: 300789, average growth: 2.1666666666666665
code: 002980, average growth: 2.0
code: 300677, average growth: 1.9707317073170731
code: 002940, average growth: 1.925
code: 002950, average growth: 1.9241379310344828
code: 300828, average growth: 1.9090909090909092
code: 300482, average growth: 1.8913738019169328
code: 300476, average growth: 1.86318407960199
code: 300694, average growth: 1.8484848484848484
code: 002475, average growth: 1.84488107549121
code: 300770, average growth: 1.8387096774193548
code: 300803, average growth: 1.75
code: 300607, average growth: 1.6938775510204083
code: 300791, average growth: 1.64
code: 002965, average growth: 1.525
code: 002923, average growth: 1.4938271604938271
code: 300511, average growth: 1.4251626898047722
code: 300638, average growth: 1.3980582524271845
code: 300765, average growth: 1.1550387596899225
code: 300773, average growth: 1.1488095238095237
code: 002959, average growth: 1.1257861635220126
code: 002706, average growth: 1.073394495412844
code: 002931, average growth: 1.0606060606060606
code: 300701, average growth: 1.0545454545454545
code: 002866, average growth: 1.0384615384615385
code: 002847, average growth: 1.0072992700729928
code: 002262, average growth: 0.9943100995732574
code: 300822, average growth: 0.9696969696969697
code: 300233, average growth: 0.903370786516854
code: 300739, average growth: 0.8028169014084507
code: 002840, average growth: 0.7884615384615384
code: 300702, average growth: 0.7515923566878981
code: 300760, average growth: 0.7414509427932247
code: 002223, average growth: 0.7382297551789078
code: 300529, average growth: 0.7274509803921568
code: 300628, average growth: 0.720954356846473
code: 300014, average growth: 0.6772908366533864
code: 002916, average growth: 0.6523235800344234
code: 300792, average growth: 0.6382978723404256
code: 300623, average growth: 0.6285714285714286
code: 300031, average growth: 0.6108597285067874
code: 002884, average growth: 0.5828220858895705
code: 300781, average growth: 0.5555555555555556
code: 002507, average growth: 0.5243553008595988
code: 300009, average growth: 0.45454545454545453
code: 300481, average growth: 0.45081967213114754
code: 002962, average growth: 0.4444444444444444
code: 300347, average growth: 0.4353448275862069
code: 002838, average growth: 0.4276729559748428
code: 300738, average growth: 0.42696629213483145
code: 300763, average growth: 0.42424242424242425
code: 300821, average growth: 0.38181818181818183
code: 000661, average growth: 0.38053905893101875
code: 300720, average growth: 0.3684210526315789
code: 002776, average growth: 0.36293436293436293
code: 002973, average growth: 0.336734693877551
code: 002942, average growth: 0.31851851851851853
code: 300146, average growth: 0.2940714566156262
code: 300782, average growth: 0.2708333333333333
code: 000538, average growth: 0.24410207029369282
code: 002803, average growth: 0.23958333333333334
code: 300624, average growth: 0.2125
code: 300801, average growth: 0.20833333333333334
code: 002901, average growth: 0.20816326530612245
code: 300418, average growth: 0.19017341040462427
code: 002982, average growth: 0.12037037037037036
code: 300751, average growth: 0.11904761904761904
code: 002915, average growth: 0.10526315789473684
code: 002975, average growth: 0.1
code: 002921, average growth: 0.09090909090909091
code: 300457, average growth: 0.07397260273972603
code: 300630, average growth: 0.07329842931937172
code: 002979, average growth: 0.03333333333333333
code: 300696, average growth: 0.014925373134328358
